node_name	node_disp_name	ntype	degree	weighted_degree	consensus_lin	BarcodeSequence	LinkerPrimerSequence	Treatment	DOB
1431		otu_node	15	697.678498343		otu	otu	otu	otu
1432		otu_node	21	347.383542199		otu	otu	otu	otu
1433		otu_node	6	399.609455612		otu	otu	otu	otu
1435		otu_node	8	3818.63812433		otu	otu	otu	otu
1436		otu_node	21	379.78702452		otu	otu	otu	otu
1437		otu_node	9	652.553832685		otu	otu	otu	otu
1438		otu_node	8	424.164902141		otu	otu	otu	otu
1439		otu_node	11	631.860952078		otu	otu	otu	otu
1441		otu_node	15	537.960560519		otu	otu	otu	otu
1442		otu_node	7	482.046983206		otu	otu	otu	otu
1443		otu_node	22	635.855299384		otu	otu	otu	otu
1444		otu_node	8	566.27440801		otu	otu	otu	otu
1445		otu_node	21	209.87113407		otu	otu	otu	otu
1446		otu_node	13	299.608494762		otu	otu	otu	otu
1447		otu_node	10	757.924517715		otu	otu	otu	otu
1448		otu_node	8	1331.48638869		otu	otu	otu	otu
145		otu_node	24	4531.979414		otu	otu	otu	otu
1450		otu_node	16	414.126100228		otu	otu	otu	otu
1451		otu_node	11	728.255295076		otu	otu	otu	otu
